中国,浙江,移动	36.133.84.0/22
中国,浙江,联通	43.240.204.0/22
中国,浙江,电信	36.16.0.0/12
中国,云南,移动	36.134.74.0/23
中国,云南,联通	14.204.0.0/15
中国,云南,电信	42.242.0.0/15
中国,新疆,移动	36.132.124.0/22
中国,新疆,联通	43.224.52.0/23
中国,新疆,电信	36.96.0.0/16
中国,香港,	202.75.0.0/22
中国,西藏,移动	36.162.82.0/24
中国,西藏,联通	27.98.224.0/19
中国,西藏,电信	101.248.0.0/15
中国,天津,移动	36.134.64.0/23
中国,天津,联通	27.0.128.0/24
中国,天津,电信	36.106.0.0/16
中国,台湾,	8.209.32.0/23
中国,四川,移动	36.133.64.0/21
中国,四川,联通	43.243.16.0/22
中国,四川,电信	36.111.64.0/21
中国,上海,移动	36.133.72.0/21
中国,上海,联通	27.115.0.0/17
中国,上海,电信	14.103.8.0/22
中国,陕西,移动	36.133.96.0/21
中国,陕西,联通	43.248.4.0/22
中国,陕西,电信	1.80.0.0/13
中国,山西,移动	36.134.76.0/23
中国,山西,联通	43.249.236.0/22
中国,山西,电信	1.68.0.0/14
中国,山东,移动	36.133.120.0/21
中国,山东,联通	27.192.0.0/11
中国,山东,电信	42.194.8.0/22
中国,青海,移动	39.134.154.0/23
中国,青海,联通	43.224.54.208/29
中国,青海,电信	36.100.0.0/16
中国,宁夏,移动	39.134.93.0/24
中国,宁夏,联通	42.63.0.0/16
中国,宁夏,电信	1.50.0.0/16
中国,内蒙古,移动	36.134.88.0/23
中国,内蒙古,联通	1.24.0.0/13
中国,内蒙古,电信	1.180.0.0/14
中国,辽宁,移动	36.128.0.0/15
中国,辽宁,联通	42.4.0.0/14
中国,辽宁,电信	42.202.0.0/15
中国,江西,移动	36.134.80.0/23
中国,江西,联通	43.224.24.0/22
中国,江西,电信	59.52.0.0/14
中国,江苏,移动	36.133.24.0/21
中国,江苏,联通	43.224.54.160/29
中国,江苏,电信	27.0.204.0/22
中国,吉林,移动	36.134.66.0/23
中国,吉林,联通	43.250.4.0/22
中国,吉林,电信	36.48.0.0/15
中国,湖南,移动	36.133.12.0/22
中国,湖南,联通	42.48.0.0/15
中国,湖南,电信	36.111.200.0/21
中国,湖北,移动	36.131.240.0/21
中国,湖北,联通	43.224.54.0/30
中国,湖北,电信	27.16.0.0/12
中国,黑龙江,移动	36.132.128.0/17
中国,黑龙江,联通	1.56.0.0/13
中国,黑龙江,电信	42.100.0.0/14
中国,河南,移动	36.133.36.0/22
中国,河南,联通	27.50.128.0/17
中国,河南,电信	1.192.0.0/13
